"","Gene","Gene.name","Tissue","TPM","pTPM","nTPM"
"2360","ENSG00000001167","NFYA","dorsomedial prefrontal cortex",5.9,6.7,10.7
"2361","ENSG00000001167","NFYA","duodenum",9.9,12.5,10
"2362","ENSG00000001167","NFYA","endometrium",24.5,31,15
"2363","ENSG00000001167","NFYA","entorhinal gyrus",20.1,28.2,12.1
"2364","ENSG00000001167","NFYA","epididymis",17.4,21.8,14.9
"2365","ENSG00000001167","NFYA","esophagus",10.4,12.2,9.8
"2366","ENSG00000001167","NFYA","fallopian tube",18.7,22.6,11.7
"2367","ENSG00000001167","NFYA","flocculonodular lobe",21.1,32.5,13.4
"2368","ENSG00000001167","NFYA","frontal cortex",5.9,6.7,11.2
"2369","ENSG00000001167","NFYA","frontal eye field",17,23.5,10
"2370","ENSG00000001167","NFYA","frontal operculum",20.6,30.3,10.5
"2371","ENSG00000001167","NFYA","frontomarginal cortex",6.8,7.7,11
"2372","ENSG00000001167","NFYA","frontopolar cortex",8.8,10.2,10.9
"2373","ENSG00000001167","NFYA","fusiform gyrus",23.1,33.5,13
"2374","ENSG00000001167","NFYA","fusiform gyrus (white matter)",22.8,32.1,14.3
"2375","ENSG00000001167","NFYA","gallbladder",19.6,24.7,12.6
"2376","ENSG00000001167","NFYA","gigantocellular reticular nuclei, medullary",21.1,28.4,14.7
"2377","ENSG00000001167","NFYA","gigantocellular reticular nuclei, pars",21.6,30.6,13.4
"2378","ENSG00000001167","NFYA","globus pallidus, externus",27.8,39.1,17.7
"2379","ENSG00000001167","NFYA","globus pallidus, internus",28.4,40.6,17.7
"2380","ENSG00000001167","NFYA","gyrus rectus",7.1,8,11.2
"2381","ENSG00000001167","NFYA","habenula",19.3,27.5,11.5
"2382","ENSG00000001167","NFYA","heart muscle",5,5.5,7.9
"2383","ENSG00000001167","NFYA","hippocampus",15.9,21.6,10.9
"2384","ENSG00000001167","NFYA","hippocampus, CA1",19.3,27.9,10.9
"2385","ENSG00000001167","NFYA","hippocampus, CA2",18.3,25.8,11.3
"2386","ENSG00000001167","NFYA","hippocampus, CA3",15.7,22,10.7
"2387","ENSG00000001167","NFYA","inferior colliculus",20.4,29.2,11.7
"2388","ENSG00000001167","NFYA","inferior frontal gyrus, opercular",11.4,14.9,10.4
"2389","ENSG00000001167","NFYA","inferior frontal gyrus, orbital",6.6,7.6,11.2
"2390","ENSG00000001167","NFYA","inferior frontal gyrus, triangular",7,8.2,10.2
"2391","ENSG00000001167","NFYA","inferior olive",21.3,28.2,15.5
"2392","ENSG00000001167","NFYA","inferior parietal lobule",17.4,24.3,9.9
"2393","ENSG00000001167","NFYA","inferior temporal gyrus",20,28.9,10.7
"2394","ENSG00000001167","NFYA","intraparietal deep sulcus",20.5,28.5,12.5
"2395","ENSG00000001167","NFYA","kidney",10.8,12.3,10.2
"2396","ENSG00000001167","NFYA","Kolliker-Fuse nucleus",22.3,31.4,13.9
"2397","ENSG00000001167","NFYA","lateral amygdala",18.6,24.5,13.8
"2398","ENSG00000001167","NFYA","lateral funiculus (white matter)",27.5,39.5,14.2
"2399","ENSG00000001167","NFYA","lateral geniculate body",17.8,23.6,14.3
"2400","ENSG00000001167","NFYA","lateral hypothalamic area",22.9,32.2,13
"2401","ENSG00000001167","NFYA","lateral lemniscal nuclei",20.8,29.4,12.8
"2402","ENSG00000001167","NFYA","lateral medullary reticular nucleus",23.6,32.9,14.5
"2403","ENSG00000001167","NFYA","lateral parabrachial nucleus",24.1,35.8,13.6
"2404","ENSG00000001167","NFYA","lateral thalamic nuclei",17,21.9,13.8
"2405","ENSG00000001167","NFYA","lateral vestibular nucleus",23.7,32.7,16.1
"2406","ENSG00000001167","NFYA","lingual gyrus",18.5,26.6,10.5
"2407","ENSG00000001167","NFYA","liver",7.1,7.9,14.4
"2408","ENSG00000001167","NFYA","locus coeruleus",19.3,26.5,12.4
"2409","ENSG00000001167","NFYA","lung",17.5,21.8,11.9
"2410","ENSG00000001167","NFYA","lymph node",22.7,29.6,19.7
"2411","ENSG00000001167","NFYA","mamillary body",20.6,28.4,12.7
"2412","ENSG00000001167","NFYA","medial dorsal thalamic nucleus",15,19.7,11.5
"2413","ENSG00000001167","NFYA","medial geniculate body",14,18.3,11.3
"2414","ENSG00000001167","NFYA","medial olivary nucleus",25.1,36.4,14.9
"2415","ENSG00000001167","NFYA","medial parabrachial nucleus",24.6,34.8,14.1
"2416","ENSG00000001167","NFYA","medial periolivary nuclei",21.4,29.9,13.3
"2417","ENSG00000001167","NFYA","medial vestibular nucleus",19.9,26.7,12.9
"2418","ENSG00000001167","NFYA","median raphe nucleus",16.7,22.5,11.3
"2419","ENSG00000001167","NFYA","middle cingulate cortex",16.6,22.2,11.8
"2420","ENSG00000001167","NFYA","middle frontal gyrus",12.1,15.7,11.9
"2421","ENSG00000001167","NFYA","middle temporal gyrus",21.5,31.5,11.6
"2422","ENSG00000001167","NFYA","motor facial nucleus",20.7,28.3,13.8
"2423","ENSG00000001167","NFYA","motor hypoglossal nucleus",20,29.8,12.9
"2424","ENSG00000001167","NFYA","motor trigeminal nucleus",21.9,31.4,13.2
"2425","ENSG00000001167","NFYA","nuclei of the trapezoid body",21,29.2,12.6
"2426","ENSG00000001167","NFYA","nucleus accumbens",22.5,32.3,12.7
"2427","ENSG00000001167","NFYA","nucleus ambiguus",22,33.2,12.4
"2428","ENSG00000001167","NFYA","nucleus basalis of Meynert",21.6,29.8,14
"2429","ENSG00000001167","NFYA","nucleus cuneatus",20,26.7,15.2
"2430","ENSG00000001167","NFYA","nucleus gracilis",19.7,26.4,14.8
"2431","ENSG00000001167","NFYA","nucleus of the diagonal band",19.4,28.4,9.9
"2432","ENSG00000001167","NFYA","nucleus raphe magnus",20.4,28.3,13.2
"2433","ENSG00000001167","NFYA","nucleus raphe obscurus",25.7,38.2,14.8
"2434","ENSG00000001167","NFYA","nucleus raphe pallidus",25.8,38.3,14.2
"2435","ENSG00000001167","NFYA","nucleus reuniens",23,32,14.8
"2436","ENSG00000001167","NFYA","nucleus rhomboideus",16.4,21.7,13.1
"2437","ENSG00000001167","NFYA","nucleus tractus solitarii",20.3,28.8,11.2
"2438","ENSG00000001167","NFYA","occipital cortex",16.9,22.8,11
"2439","ENSG00000001167","NFYA","occipital cortex (white matter)",19.2,25.8,10.7
"2440","ENSG00000001167","NFYA","olfactory area",18.2,26,9.8
"2441","ENSG00000001167","NFYA","olfactory tubercle",18.1,25.6,9.7
"2442","ENSG00000001167","NFYA","orbitofrontal gyrus, anterior",9,11.8,11.1
"2443","ENSG00000001167","NFYA","orbitofrontal gyrus, lateral",6.3,7.3,9.5
"2444","ENSG00000001167","NFYA","orbitofrontal gyrus, medial",7.2,8.1,11.7
"2445","ENSG00000001167","NFYA","orbitofrontal gyrus, posterior",6.1,7,9.6
"2446","ENSG00000001167","NFYA","ovary",22.6,27.9,18.9
"2447","ENSG00000001167","NFYA","pancreas",2.4,3,11.6
"2448","ENSG00000001167","NFYA","paracentral lobule, anterior",15.7,21.1,10
"2449","ENSG00000001167","NFYA","paracentral lobule, posterior",16.2,21.5,11.5
"2450","ENSG00000001167","NFYA","parahippocampal cortex",17.5,24.3,11.4
"2451","ENSG00000001167","NFYA","parahippocampal cortex (white matter)",30.3,44.9,14.1
"2452","ENSG00000001167","NFYA","paramedian reticular nucleus",23,33,13.1
"2453","ENSG00000001167","NFYA","parathyroid gland",19.3,22.7,15.4
"2454","ENSG00000001167","NFYA","paraventricular nucleus",23.7,34.2,13.9
"2455","ENSG00000001167","NFYA","parietal cortex",7.4,8.4,11.9
"2456","ENSG00000001167","NFYA","parietal operculum",13.3,17.6,9.3
"2457","ENSG00000001167","NFYA","parieto-insular cortex",18.4,25.9,10.5
"2458","ENSG00000001167","NFYA","parieto-occipital transitional area",21,29.1,13.3
"2459","ENSG00000001167","NFYA","parieto-temporal junction (white matter)",43,69.7,24.7
"2460","ENSG00000001167","NFYA","parvicellular reticular nuclei",22.1,31.2,14.2
"2461","ENSG00000001167","NFYA","parvicellular reticular nuclei, medullary",21.5,29.1,12.5
"2462","ENSG00000001167","NFYA","pedunculopontine tegmental nucleus",24.2,34.9,14.1
"2463","ENSG00000001167","NFYA","periaquaductal grey, anterior",14.8,19.5,10.9
"2464","ENSG00000001167","NFYA","periaquaductal grey, dorsal",18.9,26.7,11
"2465","ENSG00000001167","NFYA","periaquaductal grey, lateral",21.6,31,13.1
"2466","ENSG00000001167","NFYA","perirhinal gyrus",19.4,27.7,10.6
"2467","ENSG00000001167","NFYA","peritrigeminal nucleus",24.3,34.2,13.5
"2468","ENSG00000001167","NFYA","piriform cortex",23.3,34.3,12.1
"2469","ENSG00000001167","NFYA","placenta",19.4,23.4,13.9
"2470","ENSG00000001167","NFYA","pontine nuclei",21.5,30.2,13
"2471","ENSG00000001167","NFYA","pontine raphe nucleus",16.1,21.9,10.6
"2472","ENSG00000001167","NFYA","postcentral gyrus",14.6,18.2,10.3
"2473","ENSG00000001167","NFYA","postcentral gyrus, dorsal",18.9,25.7,11.4
"2474","ENSG00000001167","NFYA","postcentral gyrus, middle",16.9,24.3,10.5
"2475","ENSG00000001167","NFYA","postcentral gyrus, ventral",19.4,28.7,13.8
"2476","ENSG00000001167","NFYA","posterior cingulate cortex",14.4,18,10.7
"2477","ENSG00000001167","NFYA","posterior cingulate cortex, dorsal",17,22.2,12.4
"2478","ENSG00000001167","NFYA","posterior cingulate cortex, ventral",16.3,22.3,10.4
"2479","ENSG00000001167","NFYA","posterior insular cortex",17.2,24.4,9.7
"2480","ENSG00000001167","NFYA","posterior thalamic nucleus",16.6,23.6,11.8
"2481","ENSG00000001167","NFYA","posteroventral cochlear nucleus",26.6,38.4,15.5
"2482","ENSG00000001167","NFYA","precentral gyrus",18,24,10.7
"2483","ENSG00000001167","NFYA","precentral gyrus, dorsal",16.4,21.5,10.7
"2484","ENSG00000001167","NFYA","precentral gyrus, middle",19.1,26.3,10.7
"2485","ENSG00000001167","NFYA","precentral gyrus, ventral",16.6,22,10.4
"2486","ENSG00000001167","NFYA","precuneus",18,24.3,11.5
"2487","ENSG00000001167","NFYA","premotor cortex, dorsal",19.3,26.1,12.4
"2488","ENSG00000001167","NFYA","premotor cortex, ventral",17.8,24.4,11.3
"2489","ENSG00000001167","NFYA","preoptic area",19.5,27.7,11.1
"2490","ENSG00000001167","NFYA","prepositus hypoglossal nucleus",19.8,26.5,13.4
"2491","ENSG00000001167","NFYA","pretectal area",18.4,25.8,11.8
"2492","ENSG00000001167","NFYA","principal sensory trigeminal nucleus",22.7,32.7,13.2
"2493","ENSG00000001167","NFYA","prostate",21.9,26.9,13.7
"2494","ENSG00000001167","NFYA","pulvinar",15.6,20.4,13
"2495","ENSG00000001167","NFYA","putamen",21,29,14.3
"2496","ENSG00000001167","NFYA","rectum",15.9,19.7,14.7
"2497","ENSG00000001167","NFYA","red nucleus",23.2,31.4,16.8
"2498","ENSG00000001167","NFYA","reticular pontine nucleus, caudal",25.1,34.4,17
"2499","ENSG00000001167","NFYA","reticular pontine nucleus, oral",23.6,32.9,14.7
"2500","ENSG00000001167","NFYA","reticulotegmental nucleus",21.5,29.4,14.1
"2501","ENSG00000001167","NFYA","retrosplenial cortex",15.9,22.6,9.7
"2502","ENSG00000001167","NFYA","salivary gland",4,6.6,9.5
"2503","ENSG00000001167","NFYA","seminal vesicle",11.1,13.1,8.1
"2504","ENSG00000001167","NFYA","septal nuclei",20.3,29.6,10.6
"2505","ENSG00000001167","NFYA","skeletal muscle",2.3,2.5,6.7
"2506","ENSG00000001167","NFYA","skin",12.4,15.7,10.6
"2507","ENSG00000001167","NFYA","small intestine",12.3,15.5,11.3
"2508","ENSG00000001167","NFYA","smooth muscle",15.8,19.2,10.9
"2509","ENSG00000001167","NFYA","somatomor cortex, precentral gyrus (white matter)",25.1,33.4,15.5
"2510","ENSG00000001167","NFYA","somatosensory cortex, postcentral gyrus, ventral (white matter)",25.3,33.9,14.7
"2511","ENSG00000001167","NFYA","spinal trigeminal nucleus, caudal",19.6,26.6,13
"2512","ENSG00000001167","NFYA","spinal trigeminal nucleus, interpolar",21.6,29.4,13.2
"2513","ENSG00000001167","NFYA","spinal trigeminal nucleus, oral",20.3,28.7,12
"2514","ENSG00000001167","NFYA","spinal vestibular nucleus",22.4,30.3,14.2
"2515","ENSG00000001167","NFYA","spleen",19.9,26.4,14.6
"2516","ENSG00000001167","NFYA","stomach",11.6,14.3,12.7
"2517","ENSG00000001167","NFYA","stria terminalis, bed nucleus",22.6,34.3,11.2
"2518","ENSG00000001167","NFYA","subcallosal gyrus",5.1,5.7,9.5
"2519","ENSG00000001167","NFYA","subcentral gyrus, S2",16.8,23.5,10.2
"2520","ENSG00000001167","NFYA","subcoeruleus area",21.4,30.9,12.7
"2521","ENSG00000001167","NFYA","subiculum",19.1,27.9,12.1
"2522","ENSG00000001167","NFYA","substantia nigra",17.5,23.4,12.4
"2523","ENSG00000001167","NFYA","subthalamic nucleus",21.7,30.2,15.4
"2524","ENSG00000001167","NFYA","superior colliculus",18.7,25.6,12.6
"2525","ENSG00000001167","NFYA","superior frontal gyrus",6.2,7,10.9
"2526","ENSG00000001167","NFYA","superior olive",20.2,28.2,12.7
"2527","ENSG00000001167","NFYA","superior parietal lobule",20.8,29,12.4
"2528","ENSG00000001167","NFYA","superior temporal gyrus",20.6,30.3,11.3
"2529","ENSG00000001167","NFYA","superior vestibular nucleus",21.2,29.8,12
"2530","ENSG00000001167","NFYA","supplementary motor cortex",21.4,30.1,13.1
"2531","ENSG00000001167","NFYA","suprachiasmatic nucleus",25.8,40,12.9
"2532","ENSG00000001167","NFYA","supramarginal gyrus",17,23.5,10.6
"2533","ENSG00000001167","NFYA","supraoptic nucleus",19.5,27.9,11.5
"2534","ENSG00000001167","NFYA","temporal cortex",8.7,11,11.8
"2535","ENSG00000001167","NFYA","temporal cortex (white matter)",22.5,31.2,12.6
"2536","ENSG00000001167","NFYA","temporal pole",19.1,26.8,10.7
"2537","ENSG00000001167","NFYA","temporal white matter",33.9,52.3,20
"2538","ENSG00000001167","NFYA","temporo-insular cortex, parainsular gyrus",18.6,26.1,11.2
"2539","ENSG00000001167","NFYA","temporo-occipital transitional zone",16.5,23,11.7
"2540","ENSG00000001167","NFYA","testis",70.5,90.6,38.9
"2541","ENSG00000001167","NFYA","thymus",54.7,68.8,41.9
"2542","ENSG00000001167","NFYA","thyroid gland",30.4,38,18.6
"2543","ENSG00000001167","NFYA","tongue",5.6,6,12.6
"2544","ENSG00000001167","NFYA","tonsil",18.6,24.2,20.7
"2545","ENSG00000001167","NFYA","transversal temporal gyrus, anterior",19.8,28.4,11.3
"2546","ENSG00000001167","NFYA","transversal temporal gyrus, posterior",21,31,11.5
"2547","ENSG00000001167","NFYA","urinary bladder",17,20.7,14.7
"2548","ENSG00000001167","NFYA","ventral medullary reticular nucleus",24.7,35.7,14.2
"2549","ENSG00000001167","NFYA","ventral periolivary nuclei",21,29.7,13.1
"2550","ENSG00000001167","NFYA","ventral posterolateral thalamic nucleus",17.7,23.3,12.5
"2551","ENSG00000001167","NFYA","ventral posteromedial thalamic nucleus",19.2,26.3,11.6
"2552","ENSG00000001167","NFYA","ventral tegmental area",19.2,25.8,13.5
"2553","ENSG00000001167","NFYA","ventral thalamic nuclei",17.7,23.3,14.9
"2554","ENSG00000001167","NFYA","ventrolateral medulla, A1/C1 cell groups",23.2,33.2,12.9
"2555","ENSG00000001167","NFYA","ventrolateral prefrontal cortex",5.5,6.1,11
"2556","ENSG00000001167","NFYA","ventrolateral tegmental area, A5 NE cell group",19.8,26.9,13.3
"2557","ENSG00000001167","NFYA","ventromedial nucleus",17.1,24.7,10
"2558","ENSG00000001167","NFYA","ventromedial prefrontal cortex",6.3,7.2,10.1
"2559","ENSG00000001167","NFYA","vermis",19.7,30.5,12.4
"2560","ENSG00000001167","NFYA","zona incerta",18.7,24.9,14
"2561","ENSG00000001460","STPG1","adipose tissue",5,5.9,4.6
"2562","ENSG00000001460","STPG1","adrenal gland",4.1,5,3.2
"2563","ENSG00000001460","STPG1","amygdala",6,8.2,10
"2564","ENSG00000001460","STPG1","angular gyrus",5.9,8.5,9.6
"2565","ENSG00000001460","STPG1","angular gyrus (white matter)",5.2,8.3,8.3
"2566","ENSG00000001460","STPG1","anterior cingulate cortex, supragenual-dorsal",3.3,4.5,8.4
"2567","ENSG00000001460","STPG1","anterior cingulate cortex, supragenual-ventral",2.6,3.6,8.1
"2568","ENSG00000001460","STPG1","anterior cingulate gyrus, pregenual-dorsal",5.6,6.4,8.2
"2569","ENSG00000001460","STPG1","anterior cingulate gyrus, pregenual-ventral",4.8,5.4,9.1
"2570","ENSG00000001460","STPG1","anterior cingulate gyrus, subgenual",6.3,7.3,8.5
"2571","ENSG00000001460","STPG1","anterior cochlear nucleus, ventral",2.9,4.2,7.5
"2572","ENSG00000001460","STPG1","anterior funiculus (white matter)",2.7,4,7.9
"2573","ENSG00000001460","STPG1","anterior insular cortex, dorsal",2.6,3.7,7.8
"2574","ENSG00000001460","STPG1","anterior insular cortex, ventral",5.1,7.6,8.9
"2575","ENSG00000001460","STPG1","anterior thalamic nucleus, ventral",7.6,10.6,9.3
"2576","ENSG00000001460","STPG1","appendix",2.8,3.8,2.1
"2577","ENSG00000001460","STPG1","arcuate nucleus",8.7,12.5,9.2
"2578","ENSG00000001460","STPG1","area parastriata, inferior",3.9,5.3,8.9
"2579","ENSG00000001460","STPG1","area parastriata, parietal",4.8,6.9,8.7
"2580","ENSG00000001460","STPG1","area parastriata, superior",4.3,5.9,9.2
"2581","ENSG00000001460","STPG1","area parastriata, temporal",5.2,7.5,9.3
"2582","ENSG00000001460","STPG1","area postrema",3.8,5.3,8.1
"2583","ENSG00000001460","STPG1","area striata",5.4,8,9.3
"2584","ENSG00000001460","STPG1","area striata (white matter)",2.9,3.8,8
"2585","ENSG00000001460","STPG1","basal amygdala",3.6,5.1,8.3
"2586","ENSG00000001460","STPG1","bone marrow",0.7,1,1.1
"2587","ENSG00000001460","STPG1","breast",3.8,4.6,3.1
"2588","ENSG00000001460","STPG1","caudate nucleus",4,5.4,8.5
"2589","ENSG00000001460","STPG1","central amygdala",5.1,7.2,9.2
"2590","ENSG00000001460","STPG1","centromedial thalamic nucleus",13.3,19.2,12.8
"2591","ENSG00000001460","STPG1","cerebellar cortex",5.6,8.6,8.9
"2592","ENSG00000001460","STPG1","cerebellar nuclei",7.3,10.2,9.8
"2593","ENSG00000001460","STPG1","cerebellar white matter",4.4,6.5,8.5
"2594","ENSG00000001460","STPG1","cervical spinal cord, central gray",5.7,8.1,9.6
"2595","ENSG00000001460","STPG1","cervical spinal cord, dorsal horn",2.4,3.5,7.4
"2596","ENSG00000001460","STPG1","cervical spinal cord, ventral horn",2.8,3.9,7.7
"2597","ENSG00000001460","STPG1","cervix",5,5.9,3.4
"2598","ENSG00000001460","STPG1","choroid plexus",7.7,10,14
"2599","ENSG00000001460","STPG1","claustrum",5.1,7.1,9.1
"2600","ENSG00000001460","STPG1","colon",6.3,7.8,6.5
"2601","ENSG00000001460","STPG1","corpus callosum, genu (white matter)",8.6,13.6,11.3
"2602","ENSG00000001460","STPG1","corpus callosum, splenium (white matter)",4.7,7.2,9.5
"2603","ENSG00000001460","STPG1","corticomedial amygdala",2.9,4.1,7.8
"2604","ENSG00000001460","STPG1","cuneate nuclei",5.3,7.5,8.7
"2605","ENSG00000001460","STPG1","cuneiform nucleus",7.6,10.5,9.1
"2606","ENSG00000001460","STPG1","dentate gyrus",1.7,2.4,7
"2607","ENSG00000001460","STPG1","dorsal cochlear nucleus",3.5,4.8,7.9
"2608","ENSG00000001460","STPG1","dorsal funiculus (white matter)",1.5,2.1,7.1
"2609","ENSG00000001460","STPG1","dorsal medullary reticular nucleus",5.2,7.5,8.2
"2610","ENSG00000001460","STPG1","dorsal motor vagal complex",4,5.4,8.2
"2611","ENSG00000001460","STPG1","dorsal raphe nucleus",6.8,9.6,9.5
"2612","ENSG00000001460","STPG1","dorsal tegmental nucleus",4.8,7.4,8.6
"2613","ENSG00000001460","STPG1","dorsolateral prefrontal cortex",4.4,5,8.8
"2614","ENSG00000001460","STPG1","dorsolateral tegmental area",4.8,6.9,8.7
"2615","ENSG00000001460","STPG1","dorsomedial nucleus",11.2,16,10
"2616","ENSG00000001460","STPG1","dorsomedial prefrontal cortex",5.8,6.8,6.8
"2617","ENSG00000001460","STPG1","duodenum",3.4,4.3,3.5
"2618","ENSG00000001460","STPG1","endometrium",6,7.6,3.7
"2619","ENSG00000001460","STPG1","entorhinal gyrus",3.9,5.6,8.3
"2620","ENSG00000001460","STPG1","epididymis",6.4,8,5.4
"2621","ENSG00000001460","STPG1","esophagus",3.3,3.9,3.1
"2622","ENSG00000001460","STPG1","fallopian tube",26.4,31.6,16.9
"2623","ENSG00000001460","STPG1","flocculonodular lobe",4.9,7.6,8.6
"2624","ENSG00000001460","STPG1","frontal cortex",5.9,6.8,8.5
"2625","ENSG00000001460","STPG1","frontal eye field",4.5,6.2,9.2
"2626","ENSG00000001460","STPG1","frontal operculum",4.1,6.1,7.8
"2627","ENSG00000001460","STPG1","frontomarginal cortex",7.1,8.1,9.5
"2628","ENSG00000001460","STPG1","frontopolar cortex",9.4,11,9.9
"2629","ENSG00000001460","STPG1","fusiform gyrus",5,7.2,9
"2630","ENSG00000001460","STPG1","fusiform gyrus (white matter)",3.8,5.3,8.2
"2631","ENSG00000001460","STPG1","gallbladder",4.9,6.2,3.2
"2632","ENSG00000001460","STPG1","gigantocellular reticular nuclei, medullary",4.1,5.6,8.6
"2633","ENSG00000001460","STPG1","gigantocellular reticular nuclei, pars",5,7.1,8.6
"2634","ENSG00000001460","STPG1","globus pallidus, externus",4.2,5.9,8.6
"2635","ENSG00000001460","STPG1","globus pallidus, internus",3.8,5.5,8.3
"2636","ENSG00000001460","STPG1","gyrus rectus",5.8,6.6,7.4
"2637","ENSG00000001460","STPG1","habenula",8.4,11.9,10.6
"2638","ENSG00000001460","STPG1","heart muscle",2,2.2,3.2
"2639","ENSG00000001460","STPG1","hippocampus",1.9,2.6,7.2
"2640","ENSG00000001460","STPG1","hippocampus, CA1",2.5,3.5,7.5
"2641","ENSG00000001460","STPG1","hippocampus, CA2",2.8,4.1,7.6
"2642","ENSG00000001460","STPG1","hippocampus, CA3",1.6,2.2,6.9
"2643","ENSG00000001460","STPG1","inferior colliculus",8.8,12.4,9.5
"2644","ENSG00000001460","STPG1","inferior frontal gyrus, opercular",5.6,7.1,9
"2645","ENSG00000001460","STPG1","inferior frontal gyrus, orbital",7.2,8.5,8.8
"2646","ENSG00000001460","STPG1","inferior frontal gyrus, triangular",8,9.4,9.3
"2647","ENSG00000001460","STPG1","inferior olive",3.4,4.5,8.2
"2648","ENSG00000001460","STPG1","inferior parietal lobule",4.3,6.1,9.1
"2649","ENSG00000001460","STPG1","inferior temporal gyrus",5,7.5,8.7
"2650","ENSG00000001460","STPG1","intraparietal deep sulcus",4.9,7,9.2
"2651","ENSG00000001460","STPG1","kidney",4.8,5.5,4.6
"2652","ENSG00000001460","STPG1","Kolliker-Fuse nucleus",4.1,5.8,8.3
"2653","ENSG00000001460","STPG1","lateral amygdala",4.7,6.6,9
"2654","ENSG00000001460","STPG1","lateral funiculus (white matter)",1.8,2.6,7.2
"2655","ENSG00000001460","STPG1","lateral geniculate body",6.6,8.9,10.2
"2656","ENSG00000001460","STPG1","lateral hypothalamic area",5,7.1,8.5
"2657","ENSG00000001460","STPG1","lateral lemniscal nuclei",5.9,8.5,9.3
"2658","ENSG00000001460","STPG1","lateral medullary reticular nucleus",4.3,6.1,8.4
"2659","ENSG00000001460","STPG1","lateral parabrachial nucleus",6.4,9.4,8.8
"2660","ENSG00000001460","STPG1","lateral thalamic nuclei",6.4,8.8,10.7
"2661","ENSG00000001460","STPG1","lateral vestibular nucleus",4.4,6.1,8.4
"2662","ENSG00000001460","STPG1","lingual gyrus",3.9,5.7,8.5
"2663","ENSG00000001460","STPG1","liver",0.6,0.7,1.3
"2664","ENSG00000001460","STPG1","locus coeruleus",6.1,8.5,9
"2665","ENSG00000001460","STPG1","lung",7.3,9.1,4.9
"2666","ENSG00000001460","STPG1","lymph node",2.4,3.1,2.1
"2667","ENSG00000001460","STPG1","mamillary body",8.6,11.9,10.2
"2668","ENSG00000001460","STPG1","medial dorsal thalamic nucleus",10.4,14,11.7
"2669","ENSG00000001460","STPG1","medial geniculate body",6,8,9.6
"2670","ENSG00000001460","STPG1","medial olivary nucleus",4,5.8,8.1
"2671","ENSG00000001460","STPG1","medial parabrachial nucleus",6,8.4,8.9
"2672","ENSG00000001460","STPG1","medial periolivary nuclei",5.8,8.1,9.3
"2673","ENSG00000001460","STPG1","medial vestibular nucleus",5.4,7.4,9.2
"2674","ENSG00000001460","STPG1","median raphe nucleus",3.2,4.5,7.9
"2675","ENSG00000001460","STPG1","middle cingulate cortex",2.8,3.8,8.4
"2676","ENSG00000001460","STPG1","middle frontal gyrus",6.4,7.9,10.8
"2677","ENSG00000001460","STPG1","middle temporal gyrus",4.7,7,8.7
"2678","ENSG00000001460","STPG1","motor facial nucleus",5.7,7.8,9.5
"2679","ENSG00000001460","STPG1","motor hypoglossal nucleus",4.2,6.4,8.6
"2680","ENSG00000001460","STPG1","motor trigeminal nucleus",4.2,6.1,8.5
"2681","ENSG00000001460","STPG1","nuclei of the trapezoid body",8,11.3,9.9
"2682","ENSG00000001460","STPG1","nucleus accumbens",3.5,5.2,7.8
"2683","ENSG00000001460","STPG1","nucleus ambiguus",3.9,5.9,7.5
"2684","ENSG00000001460","STPG1","nucleus basalis of Meynert",3.1,4.3,7.8
"2685","ENSG00000001460","STPG1","nucleus cuneatus",3.4,4.6,8.1
"2686","ENSG00000001460","STPG1","nucleus gracilis",3.8,5,8.5
"2687","ENSG00000001460","STPG1","nucleus of the diagonal band",6,8.9,8.4
"2688","ENSG00000001460","STPG1","nucleus raphe magnus",6.8,9.5,9.9
"2689","ENSG00000001460","STPG1","nucleus raphe obscurus",4.2,6.1,7.8
"2690","ENSG00000001460","STPG1","nucleus raphe pallidus",4.7,6.9,8
"2691","ENSG00000001460","STPG1","nucleus reuniens",4.6,6.3,8.6
"2692","ENSG00000001460","STPG1","nucleus rhomboideus",5.8,7.8,10
"2693","ENSG00000001460","STPG1","nucleus tractus solitarii",5.9,8.3,9
"2694","ENSG00000001460","STPG1","occipital cortex",4.8,6.6,10
"2695","ENSG00000001460","STPG1","occipital cortex (white matter)",4.3,5.8,10
"2696","ENSG00000001460","STPG1","olfactory area",3.7,5.3,8.2
"2697","ENSG00000001460","STPG1","olfactory tubercle",3.7,5.3,8.6
"2698","ENSG00000001460","STPG1","orbitofrontal gyrus, anterior",6.7,8.3,9
"2699","ENSG00000001460","STPG1","orbitofrontal gyrus, lateral",7.8,9,9.7
"2700","ENSG00000001460","STPG1","orbitofrontal gyrus, medial",4.8,5.4,6.9
"2701","ENSG00000001460","STPG1","orbitofrontal gyrus, posterior",7.5,8.8,9.1
"2702","ENSG00000001460","STPG1","ovary",5.1,6.3,4.3
"2703","ENSG00000001460","STPG1","pancreas",0.7,0.9,3.7
"2704","ENSG00000001460","STPG1","paracentral lobule, anterior",4.9,6.7,9.6
"2705","ENSG00000001460","STPG1","paracentral lobule, posterior",3.9,5.2,9
"2706","ENSG00000001460","STPG1","parahippocampal cortex",3.1,4.4,8.1
"2707","ENSG00000001460","STPG1","parahippocampal cortex (white matter)",4.6,6.8,8.5
"2708","ENSG00000001460","STPG1","paramedian reticular nucleus",5.4,7.5,8.4
"2709","ENSG00000001460","STPG1","parathyroid gland",11.6,13.7,9.2
"2710","ENSG00000001460","STPG1","paraventricular nucleus",5.3,7.6,8
